S. No.	Product Name	Product Code	MFR No.	BPR No.	Revision No.	Effective Date	Remarks
180.		BESTOPARA INJECTION 2ML	FAMP-0232	MFR/LA/184	BPR/LA/184	01	11/02/2025	QUALITY BESTOCHEM
181.		MAGNEMAP  INJECTION 2ML	FAMP-0228	MFR/LA/185	BPR/LA/185	00	25/06/2021	TORRVIS (SKYMAP )
182.		DOPAMAP INJ 5ML	FAMP-0237	MFR/LA/186	BPR/LA/186	00	20/07/2021	SKYMAP 
(YEMEN)
183.		TRANASE INJ 5ML	FAMP-0236	MFR/LA/187	BPR/LA/187	01	25/06/2025	LINCOLN
184.		SKYMCEE 500 INJ 5ML	FAMP-0251	MFR/LA/188	BPR/LA/188	00	22/07/2021	TORRVIS 
(SKYMAP)
185.		NAXAMAP INJECTION 5ML	FAMP-0250	MFR/LA/189	BPR/LA/189	01	22/05/2024	MODERN
YEMEN
186.		CLINDAVERI INJECTION 4ML	FAMP-0238	MFR/LA/190	BPR/LA/190	01	27/07/2022	NEOVERITAS 
187.		LARIAOMAP INJECTION 2ML	FAMP-0235	MFR/LA/191	BPR/LA/191	00	10/08/2021	TORRVIS (SKYMAP)
188.		INTAPHYLLINE INJECTION	FAMP-0253	MFR/LA/192	BPR/LA/192	02	26/06/2025	INTAS PHARMACEUTICALS LTD.
189.		HYOKEM INJ 1ML	FAMP-0255	MFR/LA/193	BPR/LA/193	03	01/05/2026	ALKEM  LAB.
190.		TRAMEF INJ 2ML	FAMP-0254	MFR/LA/194	BPR/LA/194	02	11/02/2025	ALKEM   LAB
191.		FLOCHEK INJ 5ML	FAMP-0256	MFR/LA/195	BPR/LA/195	02	01/05/2026	ALKEM LAB.
192.		EMESET INJECTION 4ML	FAMP-0261	MFR/LA/196	BPR/LA/196	00	20/11/2021	CIPLA LTD
193.		SODIUM BICARBONATE INJ USP 2ML	FAMP-0267	MFR/LA/197	BPR/LA/197	01	07/03/2025	SKYMAP 
194.		SODIUM BICARBONATE INJ USP 1ML	FAMP-0143	MFR/LA/198	BPR/LA/198	01	06/03/2025	SKYMAP HEALTHCARE
195.		SKYDINE INJ 2ML	FAMP-0265	MFR/LA/199	BPR/LA/199	00	22/12/2021	MODERN  YEMEN
196.		INTAGESIC INJ .  1ML	FAMP-0239	MFR/LA/200	BPR/LA/200	01	14/03/2022	INTAS
197.		LESUVERI INJ 2ML	FAMP-0257	MFR/LA/201	BPR/LA/201	00	18/01/2022	NEOVERITAS 
198.		STEMAP INJECTION 1ML	FAMP-0229	MFR/LA/202	BPR/LA/202	03	23/10/2024	TORRVIS
199.		LEOCARNIT INJECTION 5ML	FAMP-0263	MFR/LA/203	BPR/LA/203	00	03/03/2022	NEOVERITAS
200.		THIAMAP INJECTION 2ML	FAMP-0266	MFR/LA/204	BPR/LA/204	01	04/05/2022	Torrvis pharma.
201.		NANDROLIN-50 INJ (1ML)	FAMP-0274	MFR/LA/205	BPR/LA/205	02	01/06/2023	Discontinue
